name	artist_uri	artist_image	artist_url	artist_popularity	avg_related_artist_pop	followers	genres	num_genres
Sigma	spotify:artist:01pKrlgPJhm5dB4lneYAqS	https://i.scdn.co/image/ab6761610000e5eb0aba9c1df5cdfd6169b42cad	https://open.spotify.com/artist/01pKrlgPJhm5dB4lneYAqS	61	49.1	293930	['dance pop', 'dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'tropical house', 'uk dance']	7
Rita Ora	spotify:artist:5CCwRZC6euC8Odo6y9X8jr	https://i.scdn.co/image/ab6761610000e5eb484ddaa955c4c03a46ef8d8d	https://open.spotify.com/artist/5CCwRZC6euC8Odo6y9X8jr	73	67.35	7503439	['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']	7
Dreezy	spotify:artist:7gWumE1wMALHXANLSIt054	https://i.scdn.co/image/ab6761610000e5eb7e4ce6fbd012d0b1260ea5fa	https://open.spotify.com/artist/7gWumE1wMALHXANLSIt054	54	44.9	662003	['chicago rap', 'drill', 'escape room', 'pop r&b', 'r&b', 'trap queen']	6
Rexx Life Raj	spotify:artist:5rDXcEIODl8TgGTgrntnjX	https://i.scdn.co/image/ab6761610000e5eb74662433ae5ef6558fc7f8c7	https://open.spotify.com/artist/5rDXcEIODl8TgGTgrntnjX	59	53.4	130913	['alternative r&b', 'cali rap', 'pop rap', 'trap soul', 'underground hip hop']	5
Fever High	spotify:artist:2MsIDf6wfbfbakvq9PRHyf	https://i.scdn.co/image/ab6761610000e5eb4f079d14bd535159b4d0949f	https://open.spotify.com/artist/2MsIDf6wfbfbakvq9PRHyf	7	14.0	1407	[]	0
Felix Snow	spotify:artist:1qskAseW7apRxJBpYAO9Yk	https://i.scdn.co/image/ab6761610000e5ebb5d93adc72bc5ae80786f2d1	https://open.spotify.com/artist/1qskAseW7apRxJBpYAO9Yk	41	49.05	17044	[]	0
Young Dolph	spotify:artist:3HiuzBlSW7pGDXlSFMhO2g	https://i.scdn.co/image/ab6761610000e5eb36331847b6a1443a854b1740	https://open.spotify.com/artist/3HiuzBlSW7pGDXlSFMhO2g	71	60.45	2092092	['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']	7
Raindear	spotify:artist:02XiEhWcgjotsEyvC1o8Pa	https://i.scdn.co/image/ab6761610000e5eb4914054f106522349c19505f	https://open.spotify.com/artist/02XiEhWcgjotsEyvC1o8Pa	6	14.85	997	['norrbotten indie']	1
SAINt JHN	spotify:artist:0H39MdGGX6dbnnQPt6NQkZ	https://i.scdn.co/image/ab6761610000e5eb2a1356370e5fce1b25df0ac9	https://open.spotify.com/artist/0H39MdGGX6dbnnQPt6NQkZ	70	59.35	874192	['melodic rap', 'pop rap', 'rap', 'slap house']	4
Samantha Gongol	spotify:artist:6TMM7uR24St1X9c3oGcJ8y	https://i.scdn.co/image/ab6761610000e5eb4da1badb2da7d5254846fc0a	https://open.spotify.com/artist/6TMM7uR24St1X9c3oGcJ8y	31	None	1094	[]	0
JON VINYL	spotify:artist:6PvScqSJuICxvoA3UDYPmu	https://i.scdn.co/image/ab6761610000e5ebda2268357130a2bab516d968	https://open.spotify.com/artist/6PvScqSJuICxvoA3UDYPmu	46	46.9	38825	['alternative r&b', 'canadian contemporary r&b', 'chill r&b', 'indie r&b']	4
Rachel Platten	spotify:artist:3QLIkT4rD2FMusaqmkepbq	https://i.scdn.co/image/ab6761610000e5eb5e171f4ceedf185b22e464bf	https://open.spotify.com/artist/3QLIkT4rD2FMusaqmkepbq	62	59.65	845074	['dance pop', 'neo mellow', 'pop', 'pop rock']	4
Casanova	spotify:artist:6dXsR7VDJvXnF1LTZlwULx	https://i.scdn.co/image/ab6761610000e5eb5440ee7b54b9de51c63dee37	https://open.spotify.com/artist/6dXsR7VDJvXnF1LTZlwULx	49	49.65	127492	['brooklyn drill', 'nyc rap']	2
RaeLynn	spotify:artist:5dMnvpYEfXvSexjwnSRH5n	https://i.scdn.co/image/ab6761610000e5eb123d4023da61f9b320e59b09	https://open.spotify.com/artist/5dMnvpYEfXvSexjwnSRH5n	55	28.0	411623	['contemporary country', 'country', 'country pop', 'deep talent show']	4
Jinka	spotify:artist:4QQ7oTTczMTot51xhy1giT	https://i.scdn.co/image/ab6761610000e5ebe8a4d3b33de0427110f42cae	https://open.spotify.com/artist/4QQ7oTTczMTot51xhy1giT	11	30.9	1428	['romanian indie']	1
Bay Swag	spotify:artist:0ShmUyGC785pMDaRdP5Sap	https://i.scdn.co/image/ab6761610000e5eb6bfb45c7afce1a1d32f54943	https://open.spotify.com/artist/0ShmUyGC785pMDaRdP5Sap	19	21.85	3648	[]	0
Muse	spotify:artist:12Chz98pHFMPJEknJQMWvI	https://i.scdn.co/image/ab6761610000e5eb02fffd59f8dd3d45b2e7ef30	https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI	74	62.8	7056143	['modern rock', 'permanent wave', 'rock']	3
SOPHIE	spotify:artist:5a2w2tgpLwv26BYJf2qYwu	https://i.scdn.co/image/ab6761610000e5eb0a5f93747d4d50f1ea5ab6f0	https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu	51	37.45	364616	['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'hyperpop', 'pop', 'proto-hyperpop', 'transpop']	9
YG	spotify:artist:0A0FS04o6zMoto8OKPsDwY	https://i.scdn.co/image/ab6761610000e5ebeff3604ad85d0fe6605aca25	https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY	75	73.7	2872094	['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']	7
6LACK	spotify:artist:4IVAbR2w4JJNJDDRFP3E83	https://i.scdn.co/image/ab6761610000e5eb7a528fcb316c5b58d6be0511	https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83	74	58.15	3547868	['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'r&b', 'rap', 'trap']	7
Ryan Adams	spotify:artist:2qc41rNTtdLK0tV3mJn2Pm	https://i.scdn.co/image/ab6761610000e5eb46dbea8d8ce2f2a21d9f0702	https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm	57	46.75	539108	['alternative country', 'folk', 'indie rock', 'neo mellow', 'new americana', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']	9
ROZES	spotify:artist:6jsjhAEteAlY0vCiLvMLBA	https://i.scdn.co/image/ab6761610000e5eb6c1ab6feabd72e4be2a7db6a	https://open.spotify.com/artist/6jsjhAEteAlY0vCiLvMLBA	60	52.9	104705	['electropop', 'indie poptimism', 'pop edm']	3
Kash Doll	spotify:artist:3u579Gdap91lMptBSdXTpf	https://i.scdn.co/image/ab6761610000e5ebef2d054ab7d48b3c37a7fd5e	https://open.spotify.com/artist/3u579Gdap91lMptBSdXTpf	53	46.5	1133770	['detroit hip hop', 'escape room', 'hip pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen']	7
Oliver Tree	spotify:artist:6TLwD7HPWuiOzvXEa3oCNe	https://i.scdn.co/image/ab6761610000e5eb8920b53de80984ecf97ea3cb	https://open.spotify.com/artist/6TLwD7HPWuiOzvXEa3oCNe	70	58.45	1903509	['alternative hip hop']	1
Vancouver Sleep Clinic	spotify:artist:77BznF1Dr1k5KyEZ6Nn3jB	https://i.scdn.co/image/ab6761610000e5eb47705cefe69a7c0bde9757fb	https://open.spotify.com/artist/77BznF1Dr1k5KyEZ6Nn3jB	56	52.15	287709	['indie folk', 'vapor pop']	2
Afrojack	spotify:artist:4D75GcNG95ebPtNvoNVXhz	https://i.scdn.co/image/ab6761610000e5eb549aa0ce64b4b9797b24e3be	https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz	72	56.75	3869034	['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop rap', 'progressive house', 'tropical house']	9
Nessly	spotify:artist:6POMCYQE1sq1BJ8FnAvTA8	https://i.scdn.co/image/ab6761610000e5eb3a1cfbfab7f8dde3eaca1ab0	https://open.spotify.com/artist/6POMCYQE1sq1BJ8FnAvTA8	45	47.6	30128	['melodic rap', 'trap soul', 'underground hip hop', 'vapor trap']	4
OYE!!!	spotify:artist:7FuosiMDaUI88NEZ1Pg8dw	https://i.scdn.co/image/ab6761610000e5ebdf60a32b937dffe210278788	https://open.spotify.com/artist/7FuosiMDaUI88NEZ1Pg8dw	18	21.75	434	[]	0
Ari Afsar	spotify:artist:5G1hguk5ar7QZTEU282uhb	https://i.scdn.co/image/ab6761610000e5eba7d61409a69c2a59e8008a64	https://open.spotify.com/artist/5G1hguk5ar7QZTEU282uhb	42	36.65	2244	[]	0
Chantel Jeffries	spotify:artist:2HFuviZiAYhouKgvRX0y45	https://i.scdn.co/image/ab6761610000e5eb676f06321947e2e03264823a	https://open.spotify.com/artist/2HFuviZiAYhouKgvRX0y45	39	60.35	44311	['kentucky hip hop', 'la pop']	2
Childish Gambino	spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL	https://i.scdn.co/image/ab6761610000e5eb3ef779aa0d271adb2b6a3ded	https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL	77	67.9	9509242	['atl hip hop', 'hip hop', 'rap']	3
Florence + The Machine	spotify:artist:1moxjboGR7GNWYIMWsRjgG	https://i.scdn.co/image/ab6761610000e5ebe3c37f869b830d1cf1ec829a	https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG	75	61.75	5976143	['baroque pop', 'pop', 'uk alternative pop']	3
Jess Glynne	spotify:artist:4ScCswdRlyA23odg9thgIO	https://i.scdn.co/image/ab6761610000e5eb7d800f202dd15af03179876b	https://open.spotify.com/artist/4ScCswdRlyA23odg9thgIO	72	67.6	2771585	['australian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']	7
Matt Hunter	spotify:artist:20pVLDSueWpSOPCWnCWzIU	https://i.scdn.co/image/ab6761610000e5ebc6767a50b127d20ee1c17785	https://open.spotify.com/artist/20pVLDSueWpSOPCWnCWzIU	46	50.2	71200	['latin pop']	1
Christina Aguilera	spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS	https://i.scdn.co/image/ab6761610000e5eb79e6ab8e69b0ad78e5307c33	https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS	76	63.0	7017228	['dance pop', 'pop', 'post-teen pop']	3
